ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
19,2,489,20,505,8,5,11,20,0,0,13,117,3,68,2,79,58,2,10,1,25563,6,15,0,0,138,3,3,20,8,9,0,0,Malicious
191,52,2179,273,692,238,3,31,81,0,103,180,534,67,513,8,8,31,7,13,0,25753,29,342,1,32,236,5,2,276,9,3,8,0,Benign
3,14,168,13,17,13,0,0,2,0,2,0,66,3,9,0,17,9,1,0,0,5722,0,5,0,4,16,0,0,1,0,0,0,0,Benign
22,2,337,23,832,11,5,13,24,0,8,17,139,4,77,6,58,64,0,9,1,27588,7,12,0,0,187,5,5,22,7,9,2,1,Malicious
2,4,644,7,604,0,4,6,2,0,0,6,306,7,35,2,11,18,7,1,0,15201,3,11,1,0,70,2,2,9,5,5,0,0,Malicious
8,4,196,15,76,1,0,0,2,0,8,0,97,0,13,0,13,3,0,0,0,5747,2,55,0,4,71,0,0,3,10,0,0,0,Benign
16,0,457,56,61,35,1,5,20,0,40,21,97,56,21,4,7,4,20,3,0,5355,5,20,0,17,35,1,0,3,0,1,2,0,Benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29265,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
174,13,2841,249,653,308,8,37,115,0,167,173,439,207,395,17,9,48,114,18,0,37153,23,105,0,59,288,23,7,81,7,3,18,1,Benign
4,0,43,3,16,5,0,0,1,0,0,1,14,0,4,0,10,1,7,0,0,2690,1,4,0,2,8,0,0,1,0,0,0,0,Benign
3,0,109,5,174,0,1,2,0,0,0,4,38,3,147,0,3,98,7,20,0,4570,2,24,2,0,140,0,0,23,119,3,0,0,Malicious
1,0,18,1,35266,0,0,1,1,0,92,1,9,2,8,0,1,17552,0,0,1,151322,0,1,0,0,35263,2,0,2,1,1,1,0,Malicious
3,0,92,5,155,0,1,2,0,0,0,4,38,3,137,0,3,91,7,12,0,4133,3,16,2,0,130,0,0,15,117,3,0,0,Malicious
11,0,32,4,19,0,0,0,0,0,0,3,23,0,6,0,5,5,0,0,0,1212,0,1,1,2,11,0,0,2,1,0,0,0,Benign
10,0,218,19,52,16,1,1,2,0,0,8,35,11,27,2,20,18,18,2,0,3422,3,12,0,8,37,3,0,6,5,0,0,0,Benign
2,0,245,6,124,0,0,1,2,0,0,6,85,0,13,66,132,14,0,4,1,13428,19,95,0,0,69,0,1,2,0,0,0,0,Malicious
76,3,951,58,359,95,1,5,23,0,83,30,133,35,110,3,12,159,1,6,0,13706,10,83,0,22,259,5,1,27,5,1,4,0,Benign
220,70,3068,402,1199,342,1,25,159,0,386,218,750,82,816,22,8,46,27,23,0,37122,53,521,0,62,279,15,8,443,11,2,11,0,Benign
40,16,930,85,179,61,6,19,58,0,49,47,171,107,93,14,22,29,0,11,0,11547,11,22,0,26,89,2,11,10,2,5,4,0,Benign
3,2,100,13,30,4,0,0,2,0,1,1,20,5,7,0,13,1,3,0,0,1239,0,21,0,4,22,0,0,5,0,0,1,0,Benign
12,4,333,17,374,10,4,7,6,0,7,14,109,9,39,8,25,44,2,22,0,21681,5,18,0,0,241,1,1,13,1,5,2,1,Malicious
47,2,330,20,126,44,0,3,23,0,26,7,164,9,32,6,10,10,26,2,0,12453,0,19,0,4,87,1,3,5,1,0,3,1,Benign
1,0,67,2,36,0,0,0,0,0,0,3,31,0,1,3,360,0,0,0,1,13330,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
79,2,403,10,220,50,13,4,23,0,46,30,94,28,38,2,7,46,5,0,0,6812,9,29,0,4,142,2,0,7,0,0,2,2,Benign
19,2,488,19,511,8,5,11,20,0,0,12,117,3,69,1,77,65,2,9,1,25889,6,14,0,0,142,4,3,20,7,9,0,0,Malicious
3,0,43,2,12,0,0,0,1,0,4,1,12,1,2,0,22,8,0,0,0,1057,0,4,0,2,11,0,0,0,1,0,0,0,Benign
56,11,1721,109,578,98,0,17,119,0,163,47,259,74,199,83,12,39,88,68,0,23378,26,161,0,57,382,2,5,50,0,5,9,0,Benign
21,2,329,21,800,11,5,12,23,0,0,13,131,4,79,6,72,56,0,8,1,28874,7,12,0,0,157,5,5,22,8,10,1,1,Malicious
0,0,96,0,17812,0,0,1,2,0,92,0,2,0,4,0,4,3,0,0,1,133260,0,0,0,0,17719,0,1,0,1,0,1,0,Malicious
2,0,97,8,28,5,0,0,1,0,2,0,18,13,6,0,10,6,3,0,0,1085,1,16,0,7,25,0,0,1,0,0,0,0,Benign
5,1,144,13,105,9,0,4,10,0,43,10,27,0,16,1,8,7,4,0,0,1910,0,5,0,1,48,0,1,2,0,1,2,0,Benign
