file_length,empty_space,string_count,avg_str_length,str_concatenation,minified,unused_function,return_string,Class
1676,0.13,44,10.11,0,0,0,0,Benign
497,0.27,3,6.0,7,0,1,0,Benign
2633,0.13,7,7.57,3,0,0,0,Benign
1552,0.14,43,9.77,0,0,0,0,Benign
1475,0.14,40,10.05,0,0,0,0,Benign
17838,0.09,286,13.3,22,0,3,5,Benign
31922,0.18,662,28.85,12,0,5,0,Benign
6135,0.22,228,13.01,2,0,0,0,Benign
66435,0.03,170,312.66,583,0,1,0,Benign
38454,0.09,689,9.2,353,0,22,21,Benign
13368,0.02,212,13.04,65,0,20,0,Benign
5312,0.55,34,12.03,2,0,0,0,Benign
5887,0.03,222,19.27,3,0,0,0,Benign
306,0.0,4,6.75,0,1,0,0,Benign
68395,0.12,986,9.79,258,0,34,2,Benign
29016,0.11,548,7.39,250,0,19,21,Benign
27417,0.05,523,5.92,263,0,24,21,Benign
47685,0.17,853,7.52,403,0,43,21,Benign
28424,0.06,540,6.09,263,0,24,21,Benign
47877,0.16,857,7.71,362,0,41,21,Benign
1572,0.25,24,14.21,11,0,3,0,Benign
47878,0.16,857,7.71,362,0,41,21,Benign
47883,0.16,857,7.71,362,0,41,21,Benign
47879,0.16,857,7.71,362,0,41,21,Benign
32187,0.21,397,6.47,177,0,26,0,Benign
21963,0.03,445,4.84,245,0,20,21,Benign
50524,0.02,1071,6.79,569,0,40,43,Benign
51126,0.03,1066,6.71,559,0,39,43,Benign
49677,0.02,1072,6.9,557,0,39,43,Benign
21559,0.02,445,5.84,256,0,19,21,Benign
46676,0.03,926,5.1,534,0,45,42,Benign
2584,0.26,41,12.07,5,0,1,0,Benign
4554,0.29,100,15.25,5,0,1,0,Benign
41884,0.1,732,7.49,303,0,26,21,Benign
21582,0.02,550,4.49,242,0,19,21,Benign
20323,0.02,430,4.88,242,0,19,21,Benign
24359,0.04,492,6.64,246,0,19,21,Benign
20439,0.02,429,5.23,242,0,19,21,Benign
23340,0.04,471,5.89,246,0,19,21,Benign
23348,0.04,471,5.91,246,0,19,21,Benign
23354,0.04,471,5.92,246,0,19,21,Benign
3145,0.13,37,11.24,19,0,1,0,Benign
17868,0.23,281,23.01,12,0,5,0,Benign
20408,0.02,429,5.09,242,0,19,21,Benign
23343,0.04,471,5.9,246,0,19,21,Benign
23345,0.04,471,5.9,246,0,19,21,Benign
23347,0.04,471,5.91,246,0,19,21,Benign
23344,0.04,471,5.9,246,0,19,21,Benign
23339,0.04,471,5.89,246,0,19,21,Benign
23342,0.04,471,5.9,246,0,19,21,Benign
23334,0.04,471,5.88,246,0,19,21,Benign
23341,0.04,471,5.9,246,0,19,21,Benign
67,0.22,1,19.0,0,0,0,0,Benign
4170,0.13,116,16.78,0,0,0,0,Benign
3410,0.33,46,9.0,8,0,0,0,Benign
13647,0.16,388,11.67,16,0,6,0,Benign
13818,0.17,388,12.11,16,0,6,0,Benign
3737,0.19,162,6.63,1,0,0,0,Benign
114550,0.12,1441,9.67,617,0,43,26,Benign
37226,0.03,596,6.4,351,0,28,21,Benign
