AssignmentExpression,BinaryExpression,BlockStatement,CallExpression,ControlFlow,ExpressionStatement,Functions,Identifier,Literal,LogicalExpression,MemberExpression,ReturnStatement,UnaryExpression,VariableDeclaration,VariableDeclarator,array_expr_prim_elem,call_expr_str_arg,dom_operations,eval,obj_expr_prop_val,str_Constructor,str_charAt,str_charCodeAt,str_concat,str_fromCharCode,str_replace,str_slice,str_split,str_substring,var_with_str_assign,ConditionalExpression,ObjectExpressions,Property,SequenceExpression,EmptyStatement,Exceptions,Loops,NewExpression,ObjectPattern,TemplateElement,TemplateLiteral,ThisExpression,UpdateExpression,ArrayPattern,BreakStatement,SwitchCase,ContinueStatement,AssignmentPattern,LabeledStatement,Class,Imports,ClassBody,ClassDeclaration,MethodDefinition,Super,AwaitExpression,SpreadElement,RestElement,Exports,ClassExpression,ChainExpression,TaggedTemplateExpression,ExportAllDeclaration,DebuggerStatement,YieldExpression
3,4,4,5,5,3,1,30,13,4,13,2,5,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,3,0,3,1,26,4,0,10,0,0,1,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,3,7,0,11,3,52,15,2,17,0,0,0,0,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,33,61,130,18,67,40,821,167,41,253,6,29,33,61,6,53,74,0,22,0,0,0,0,0,1,2,0,0,5,12,32,53,31,3,4,1,10,4,15,6,7,1,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,11,5,10,3,58,31,3,15,0,0,1,1,0,7,1,0,15,0,0,0,0,0,0,2,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,4,1,4,1,9,4,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,1,8,0,2,1,74,12,3,31,0,4,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,78,87,202,35,98,70,1397,615,78,426,18,54,62,106,9,67,84,0,202,0,0,0,0,0,1,2,0,0,5,17,58,241,51,4,6,9,13,4,15,6,9,8,2,1,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,78,87,202,35,98,70,1397,618,78,426,18,54,62,106,12,67,84,0,202,0,0,0,0,0,1,2,0,0,5,17,58,241,51,4,6,9,13,4,15,6,9,8,2,1,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
